BLOCK,LOT,BLOCKLOT,ShapeSTAre,NEIGHBOR,NO_IMPRV,nbrhd,address,vacant_in_feb,vacant_in_oct,chg,stayed_vacant,no_longer_vacant,became_vacant,lat,lon,Zip5,geometry
0063,051,NA,NA,NA,NA,sandtown-winche,1022 N CALHOUN ST,0,1,1,0,0,1,NA,NA,21217,list()
0063,052,NA,NA,NA,NA,sandtown-winche,1020 N CALHOUN ST,0,1,1,0,0,1,NA,NA,21217,list()
0064,035,NA,NA,NA,NA,sandtown-winche,1023 N CALHOUN ST,0,1,1,0,0,1,NA,NA,21217,list()
0214,043,NA,NA,NA,NA,franklin square,4 S CALHOUN ST,0,1,1,0,0,1,NA,NA,21223,list()
0217,023,NA,NA,NA,NA,hollins market,5 S CARROLLTON AVE,0,1,1,0,0,1,NA,NA,21223,list()
0258,019,NA,NA,NA,NA,carrollton ridg,2037 W PRATT ST,0,1,1,0,0,1,NA,NA,21223,list()
0294,031,NA,NA,NA,NA,penn north,1635 W NORTH AVE,0,1,1,0,0,1,NA,NA,21217,list()
0315,003,NA,NA,NA,NA,druid heights,2004 MCCULLOH ST,0,1,1,0,0,1,NA,NA,21217,list()
0315,004,NA,NA,NA,NA,druid heights,2006 MCCULLOH ST,0,1,1,0,0,1,NA,NA,21217,list()
1143,034,NA,NA,NA,NA,johnston square,838 E PRESTON ST,0,1,1,0,0,1,NA,NA,21202,list()
1184,002,NA,NA,NA,NA,johnston square,902 E EAGER ST,0,1,1,0,0,1,NA,NA,21202,list()
1566,047,NA,NA,NA,NA,middle east,1811 E CHASE ST,0,1,1,0,0,1,NA,NA,21213,list()
1566,048,NA,NA,NA,NA,middle east,1813 E CHASE ST,0,1,1,0,0,1,NA,NA,21213,list()
1566,049,NA,NA,NA,NA,middle east,1815 E CHASE ST,0,1,1,0,0,1,NA,NA,21213,list()
1566,050,NA,NA,NA,NA,middle east,1817 E CHASE ST,0,1,1,0,0,1,NA,NA,21213,list()
1566,051,NA,NA,NA,NA,middle east,1819 E CHASE ST,0,1,1,0,0,1,NA,NA,21213,list()
2544,011,NA,NA,NA,NA,irvington,4209 MASSACHUSETTS AVE,0,1,1,0,0,1,NA,NA,21229,list()
3207,042,NA,NA,NA,NA,mondawmin,1933 WALBROOK AVE,0,1,1,0,0,1,NA,NA,21217,list()
3209,036,NA,NA,NA,NA,mondawmin,1833 CLIFTON AVE,0,1,1,0,0,1,NA,NA,21217,list()
3423,011B,NA,NA,NA,NA,reservoir hill,NA (Descriptive Address),0,1,1,0,0,1,NA,NA,NA,list()
4171,024,NA,NA,NA,NA,south clifton p,2246 E NORTH AVE,0,1,1,0,0,1,NA,NA,21213,list()
4171,025,NA,NA,NA,NA,south clifton p,2248 E NORTH AVE,0,1,1,0,0,1,NA,NA,21213,list()
