BLOCK,LOT,BLOCKLOT,ShapeSTAre,NEIGHBOR,NO_IMPRV,nbrhd,address,vacant_in_feb,vacant_in_oct,chg,stayed_vacant,no_longer_vacant,became_vacant,lat,lon,Zip5,geometry,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
0063,051,NA,NA,NA,NA,sandtown-winche,"1022 N CALHOUN ST",0,1,1,0,0,1,NA,NA,21217,list(),39.300468,-76.640377,1,range_interpolation,1022,"N Calhoun St",Baltimore,MD,"Baltimore city",21217,US,"TIGER/Line® dataset from the US Census Bureau"
0063,052,NA,NA,NA,NA,sandtown-winche,"1020 N CALHOUN ST",0,1,1,0,0,1,NA,NA,21217,list(),39.30045,-76.640377,1,range_interpolation,1020,"N Calhoun St",Baltimore,MD,"Baltimore city",21217,US,"TIGER/Line® dataset from the US Census Bureau"
0064,035,NA,NA,NA,NA,sandtown-winche,"1023 N CALHOUN ST",0,1,1,0,0,1,NA,NA,21217,list(),39.300469,-76.640077,1,range_interpolation,1023,"N Calhoun St",Baltimore,MD,"Baltimore city",21217,US,"TIGER/Line® dataset from the US Census Bureau"
0214,043,NA,NA,NA,NA,"franklin square","4 S CALHOUN ST",0,1,1,0,0,1,NA,NA,21223,list(),39.288093,-76.63973,1,rooftop,4,"S Calhoun St",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore"
0217,023,NA,NA,NA,NA,"hollins market","5 S CARROLLTON AVE",0,1,1,0,0,1,NA,NA,21223,list(),39.288308,-76.636463,1,rooftop,5,"S Carrollton Ave",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore"
0258,019,NA,NA,NA,NA,"carrollton ridg","2037 W PRATT ST",0,1,1,0,0,1,NA,NA,21223,list(),39.284881,-76.649298,1,range_interpolation,2037,"W Pratt St",Baltimore,MD,"Baltimore city",21223,US,"TIGER/Line® dataset from the US Census Bureau"
0294,031,NA,NA,NA,NA,"penn north","1635 W NORTH AVE",0,1,1,0,0,1,NA,NA,21217,list(),39.309769,-76.64344,1,rooftop,1635,"W North Ave",Baltimore,MD,"Baltimore city",21217,US,"City of Baltimore"
0315,003,NA,NA,NA,NA,"druid heights","2004 MCCULLOH ST",0,1,1,0,0,1,NA,NA,21217,list(),39.308066,-76.634965,1,rooftop,2004,"McCulloh St",Baltimore,MD,"Baltimore city",21217,US,"City of Baltimore"
0315,004,NA,NA,NA,NA,"druid heights","2006 MCCULLOH ST",0,1,1,0,0,1,NA,NA,21217,list(),39.3081,-76.635007,1,rooftop,2006,"McCulloh St",Baltimore,MD,"Baltimore city",21217,US,"City of Baltimore"
1143,034,NA,NA,NA,NA,"johnston square","838 E PRESTON ST",0,1,1,0,0,1,NA,NA,21202,list(),39.305245,-76.60528,1,rooftop,838,"E Preston St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore"
1184,002,NA,NA,NA,NA,"johnston square","902 E EAGER ST",0,1,1,0,0,1,NA,NA,21202,list(),39.301647,-76.604721,1,rooftop,902,"E Eager St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore"
1566,047,NA,NA,NA,NA,"middle east","1811 E CHASE ST",0,1,1,0,0,1,NA,NA,21213,list(),39.303189,-76.592234,1,range_interpolation,1811,"E Chase St",Baltimore,MD,"Baltimore city",21213,US,"TIGER/Line® dataset from the US Census Bureau"
1566,048,NA,NA,NA,NA,"middle east","1813 E CHASE ST",0,1,1,0,0,1,NA,NA,21213,list(),39.303191,-76.59218,1,range_interpolation,1813,"E Chase St",Baltimore,MD,"Baltimore city",21213,US,"TIGER/Line® dataset from the US Census Bureau"
1566,049,NA,NA,NA,NA,"middle east","1815 E CHASE ST",0,1,1,0,0,1,NA,NA,21213,list(),39.303194,-76.592126,1,range_interpolation,1815,"E Chase St",Baltimore,MD,"Baltimore city",21213,US,"TIGER/Line® dataset from the US Census Bureau"
1566,050,NA,NA,NA,NA,"middle east","1817 E CHASE ST",0,1,1,0,0,1,NA,NA,21213,list(),39.303197,-76.592072,1,range_interpolation,1817,"E Chase St",Baltimore,MD,"Baltimore city",21213,US,"TIGER/Line® dataset from the US Census Bureau"
1566,051,NA,NA,NA,NA,"middle east","1819 E CHASE ST",0,1,1,0,0,1,NA,NA,21213,list(),39.303199,-76.592018,1,range_interpolation,1819,"E Chase St",Baltimore,MD,"Baltimore city",21213,US,"TIGER/Line® dataset from the US Census Bureau"
2544,011,NA,NA,NA,NA,irvington,"4209 MASSACHUSETTS AVE",0,1,1,0,0,1,NA,NA,21229,list(),39.283157,-76.685687,1,rooftop,4209,"Massachusetts Ave",Baltimore,MD,"Baltimore city",21229,US,"City of Baltimore"
3207,042,NA,NA,NA,NA,mondawmin,"1933 WALBROOK AVE",0,1,1,0,0,1,NA,NA,21217,list(),39.310636,-76.64925,1,rooftop,1933,"Walbrook Ave",Baltimore,MD,"Baltimore city",21217,US,"City of Baltimore"
3209,036,NA,NA,NA,NA,mondawmin,"1833 CLIFTON AVE",0,1,1,0,0,1,NA,NA,21217,list(),39.311741,-76.648037,1,rooftop,1833,"Clifton Ave",Baltimore,MD,"Baltimore city",21217,US,"City of Baltimore"
3423,011B,NA,NA,NA,NA,"reservoir hill","NA (Descriptive Address)",0,1,1,0,0,1,NA,NA,NA,list(),39.296536,-76.623489,1,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
4171,024,NA,NA,NA,NA,"south clifton p","2246 E NORTH AVE",0,1,1,0,0,1,NA,NA,21213,list(),39.312764,-76.586192,1,rooftop,2246,"E North Ave",Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore"
4171,025,NA,NA,NA,NA,"south clifton p","2248 E NORTH AVE",0,1,1,0,0,1,NA,NA,21213,list(),39.312766,-76.586146,1,rooftop,2248,"E North Ave",Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore"
