BLOCK,LOT,BLOCKLOT,NO_IMPRV,ShapeSTAre,NEIGHBOR,nbrhd,address,vacant_in_feb,vacant_in_sept,chg,stayed_vacant,no_longer_vacant,became_vacant,location,Zip5,geometry,Latitude,Longitude
63,51,NA,NA,NA,NA,sandtown-winche,1022 N CALHOUN ST,0,1,1,0,0,1,NA,21217,list(),39.300468,-76.640377
63,52,NA,NA,NA,NA,sandtown-winche,1020 N CALHOUN ST,0,1,1,0,0,1,NA,21217,list(),39.30045,-76.640377
64,35,NA,NA,NA,NA,sandtown-winche,1023 N CALHOUN ST,0,1,1,0,0,1,NA,21217,list(),39.300469,-76.640077
214,43,NA,NA,NA,NA,franklin square,4 S CALHOUN ST,0,1,1,0,0,1,NA,21223,list(),39.288078,-76.63972
217,23,NA,NA,NA,NA,hollins market,5 S CARROLLTON AVE,0,1,1,0,0,1,NA,21223,list(),39.288316,-76.636457
258,19,NA,NA,NA,NA,carrollton ridg,2037 W PRATT ST,0,1,1,0,0,1,NA,21223,list(),39.284881,-76.649298
277,10,NA,NA,NA,NA,new southwest/m,318 S GILMOR ST,0,1,1,0,0,1,NA,21223,list(),39.283976,-76.642389
294,31,NA,NA,NA,NA,penn north,1635 W NORTH AVE,0,1,1,0,0,1,NA,21217,list(),39.309769,-76.64344
315,3,NA,NA,NA,NA,druid heights,2004 MCCULLOH ST,0,1,1,0,0,1,NA,21217,list(),39.308071,-76.634957
315,4,NA,NA,NA,NA,druid heights,2006 MCCULLOH ST,0,1,1,0,0,1,NA,21217,list(),39.308107,-76.634995
1143,34,NA,NA,NA,NA,johnston square,838 E PRESTON ST,0,1,1,0,0,1,NA,21202,list(),39.305245,-76.60528
1184,2,NA,NA,NA,NA,johnston square,902 E EAGER ST,0,1,1,0,0,1,NA,21202,list(),39.301647,-76.604721
1566,47,NA,NA,NA,NA,middle east,1811 E CHASE ST,0,1,1,0,0,1,NA,21213,list(),39.303189,-76.592234
1566,48,NA,NA,NA,NA,middle east,1813 E CHASE ST,0,1,1,0,0,1,NA,21213,list(),39.303191,-76.59218
1566,49,NA,NA,NA,NA,middle east,1815 E CHASE ST,0,1,1,0,0,1,NA,21213,list(),39.303194,-76.592126
1566,50,NA,NA,NA,NA,middle east,1817 E CHASE ST,0,1,1,0,0,1,NA,21213,list(),39.303197,-76.592072
1566,51,NA,NA,NA,NA,middle east,1819 E CHASE ST,0,1,1,0,0,1,NA,21213,list(),39.303199,-76.592018
2544,11,NA,NA,NA,NA,irvington,4209 MASSACHUSETTS AVE,0,1,1,0,0,1,NA,21229,list(),39.283159,-76.685607
3207,42,NA,NA,NA,NA,mondawmin,1933 WALBROOK AVE,0,1,1,0,0,1,NA,21217,list(),39.310636,-76.64925
3209,36,NA,NA,NA,NA,mondawmin,1833 CLIFTON AVE,0,1,1,0,0,1,NA,21217,list(),39.311741,-76.648037
3423,011B,NA,NA,NA,NA,reservoir hill,NA (Descriptive Address),0,1,1,0,0,1,NA,NA,list(),39.296536,-76.623489
4171,24,NA,NA,NA,NA,south clifton p,2246 E NORTH AVE,0,1,1,0,0,1,NA,21213,list(),39.312764,-76.586192
4171,25,NA,NA,NA,NA,south clifton p,2248 E NORTH AVE,0,1,1,0,0,1,NA,21213,list(),39.312766,-76.586146
