blk,lt,nbrhd,address,vacant_in_feb,vacant_in_oct,chg,stayed_vacant,no_longer_vacant,became_vacant,lat,lon,Zip5
0001,003,easterwood,2041 W NORTH AVE,1,1,0,1,0,0,39.30941765,-76.65104057,21217
0001,004,easterwood,2039 W NORTH AVE,0,1,1,0,0,1,NA,NA,21217
0001,006,easterwood,2035 W NORTH AVE,1,1,0,1,0,0,39.30942276,-76.65089166,21217
0001,007,easterwood,2033 W NORTH AVE,1,1,0,1,0,0,39.30942443,-76.65084103,21217
0001,008,easterwood,2031 W NORTH AVE,1,1,0,1,0,0,39.30942603,-76.65079304,21217
0001,015,easterwood,2017 W NORTH AVE,1,1,0,1,0,0,39.30943944,-76.65044524,21217
0001,026,easterwood,1810 N PAYSON ST,1,1,0,1,0,0,39.30902061,-76.65010741,21217
0001,027,easterwood,1808 N PAYSON ST,1,1,0,1,0,0,39.30898232,-76.65010528,21217
0001,028,easterwood,1806 N PAYSON ST,1,1,0,1,0,0,39.30894358,-76.65010312,21217
0001,030,easterwood,1802 N PAYSON ST,0,1,1,0,0,1,NA,NA,21217
0001,031,easterwood,1800 N PAYSON ST,1,1,0,1,0,0,39.30882778,-76.65009692,21217
0001,033,easterwood,2002 WESTWOOD AVE,1,1,0,1,0,0,39.30891456,-76.65035633,21217
0001,033C,easterwood,2008 WESTWOOD AVE,1,1,0,1,0,0,39.30890951,-76.65050027,21217
0001,033D,easterwood,2010 WESTWOOD AVE,1,1,0,1,0,0,39.3089078,-76.65054943,21217
0001,033I,easterwood,2020 WESTWOOD AVE,0,1,1,0,0,1,NA,NA,21217
0001,037,easterwood,1807 N PULASKI ST,1,1,0,1,0,0,39.30891011,-76.6510026,21217
0001,038,easterwood,1809 N PULASKI ST,0,1,1,0,0,1,NA,NA,21217
0001,039,easterwood,1811 N PULASKI ST,1,1,0,1,0,0,39.30898686,-76.65100691,21217
0001,040,easterwood,1813 N PULASKI ST,1,1,0,1,0,0,39.30902509,-76.65100906,21217
0001,043,easterwood,1819 N PULASKI ST,1,1,0,1,0,0,39.3091383,-76.65101541,21217
0001,044,easterwood,1821 N PULASKI ST,0,1,1,0,0,1,NA,NA,21217
0001,045,easterwood,1823 N PULASKI ST,1,1,0,1,0,0,39.30921335,-76.65101962,21217
0001,046,easterwood,1825 N PULASKI ST,1,1,0,1,0,0,39.3092531,-76.6510226,21217
0002,002,easterwood,1802 N MONROE ST,1,1,0,1,0,0,39.30892564,-76.64837658,21217
0002,010,easterwood,1818 N MONROE ST,1,1,0,1,0,0,39.30921984,-76.64839357,21217
0002,011,easterwood,1820 N MONROE ST,1,1,0,1,0,0,39.30925698,-76.64839566,21217
0002,012,easterwood,1822 N MONROE ST,1,1,0,1,0,0,39.30929352,-76.64839777,21217
0002,013,easterwood,1824 N MONROE ST,1,1,0,1,0,0,39.30933035,-76.6483999,21217
0002,015,easterwood,1901 W NORTH AVE,1,1,0,1,0,0,39.30953616,-76.6482863,21217
0002,016,easterwood,1903 W NORTH AVE,1,1,0,1,0,0,39.30953366,-76.64833768,21217
0002,018,easterwood,1907 W NORTH AVE,1,1,0,1,0,0,39.30952858,-76.64843751,21217
0002,019,easterwood,1909 W NORTH AVE,1,0,-1,0,1,0,39.30952601,-76.64848892,NA
0002,021,easterwood,1913 W NORTH AVE,1,1,0,1,0,0,39.30951947,-76.64861692,21217
0002,023,easterwood,1917 W NORTH AVE,1,1,0,1,0,0,39.30951592,-76.64868639,21217
0002,024,easterwood,1919 W NORTH AVE,1,1,0,1,0,0,39.30951351,-76.64873325,21217
0002,025,easterwood,1921 W NORTH AVE,1,1,0,1,0,0,39.30951634,-76.64878138,21217
0002,026,easterwood,1923 W NORTH AVE,1,1,0,1,0,0,39.30950836,-76.6488286,21217
0002,027,easterwood,1925 W NORTH AVE,0,1,1,0,0,1,NA,NA,21217
0002,029,easterwood,1931 W NORTH AVE,1,1,0,1,0,0,39.30949028,-76.64918957,21217
0002,030,easterwood,1933 W NORTH AVE,1,1,0,1,0,0,39.30948772,-76.64923983,21217
0002,031,easterwood,1935 W NORTH AVE,1,1,0,1,0,0,39.30948513,-76.64928983,21217
0002,032,easterwood,1937 W NORTH AVE,1,1,0,1,0,0,39.30948269,-76.64933806,21217
0002,034,easterwood,1941 W NORTH AVE,1,1,0,1,0,0,39.30947764,-76.64943742,21217
0002,035,easterwood,1943 W NORTH AVE,1,1,0,1,0,0,39.3094751,-76.64948699,21217
0002,036,easterwood,1945 W NORTH AVE,1,1,0,1,0,0,39.30947261,-76.64953589,21217
0002,037,easterwood,1947 W NORTH AVE,1,1,0,1,0,0,39.30947009,-76.64958516,21217
0002,038,easterwood,1949 W NORTH AVE,1,1,0,1,0,0,39.30946762,-76.64963362,21217
0002,041,easterwood,1825 N PAYSON ST,1,1,0,1,0,0,39.30930496,-76.64960009,21217
0002,043,easterwood,1821 N PAYSON ST,1,1,0,1,0,0,39.30922834,-76.64959474,21217
0002,044,easterwood,1819 N PAYSON ST,1,1,0,1,0,0,39.30918986,-76.64959636,21217
0002,045,easterwood,1817 N PAYSON ST,1,1,0,1,0,0,39.30915198,-76.64958701,21217
0002,047,easterwood,1813 N PAYSON ST,1,1,0,1,0,0,39.30907753,-76.64958667,21217
0002,049,easterwood,1809 N PAYSON ST,1,1,0,1,0,0,39.30900158,-76.64958242,21217
0002,057,easterwood,1806 APPLETON ST,1,1,0,1,0,0,39.30896761,-76.64923483,21217
0002,059,easterwood,1810 APPLETON ST,1,1,0,1,0,0,39.30903808,-76.64923881,21217
0002,064,easterwood,1820 APPLETON ST,1,1,0,1,0,0,39.3092149,-76.64924871,21217
0002,069,easterwood,1825 APPLETON ST,1,1,0,1,0,0,39.30931305,-76.64874425,21217
0003,001,sandtown-winche,1800 N FULTON AVE,1,1,0,1,0,0,39.3089469,-76.64671212,21217
0003,002,sandtown-winche,1802 N FULTON AVE,1,1,0,1,0,0,39.30898886,-76.64671669,21217
0003,003,sandtown-winche,1804 N FULTON AVE,1,1,0,1,0,0,39.30903069,-76.64671903,21217
0003,005,sandtown-winche,1808 N FULTON AVE,1,1,0,1,0,0,39.30911204,-76.64672851,21217
